model_name,accuracy,precision,recall,f1,train_samples,test_samples,cv_f1_mean,cv_f1_std
logistic_regression,0.90625,1.0,0.8125,0.896551724137931,128,32,0.8965128205128204,0.02941668273071735
svm,0.90625,1.0,0.8125,0.896551724137931,128,32,0.9112307692307692,0.0366117214284798
random_forest,0.84375,1.0,0.6875,0.8148148148148148,128,32,0.8666092361744535,0.03780534601738395
naive_bayes,0.8125,1.0,0.625,0.7692307692307693,128,32,0.8725797101449274,0.09090926253062795
